ARTS_ARTICULO,ARTS_NOMBRE,ARTS_ARTICULO_EMP,PONDERADO,ARTS_ARTICULO_IMP,ARTS_TIPO_ART,ARTS_DESCRIPCION,ARTS_CLASIF_1,ARTS_CLASIF_2,ARTS_CLASIF_3,ARTS_CLASIF_4,ARTS_CLASIF_5,ARTS_CLASIF_6,ARTS_CLASIF_7,ARTS_CLASIF_8,ARTS_CLASIF_9,ARTS_CLASIF_10,ARTS_CLASIF_11,ARTS_CLASIF_12,ARTS_CLASIF_13,ARTS_CLASIF_14,ARTS_CLASIF_15,ARTS_CLASIF_16,ARTS_UNIMED_STOCK,ARTS_CODBAR_STOCK,ARTS_CONTROL_STOCK,ARTS_AJUS_CANT_UMS,ARTS_PORCMAX_AJUMS,ARTS_CON_PARTIDAS,ARTS_NROS_SERIE,ARTS_CON_TALLES,ARTS_TALLE,ARTS_COLOR,ARTS_SE_VENDE,ARTS_SE_COMPRA,ARTS_FECHA_ALTA,ARTS_FECHA_BAJA,ARTS_BLOQUEO_MOST,ARTS_VOLUMEN_EMB_UMS,ARTS_PESO_EMB_UMS,ARTS_CANT_BULT_UMS,ARTS_UNIMED_HOMSTO,ARTS_FACTOR_HOMSTO,ARTS_CUENTA,ARTS_SE_PRODUCE,ARTS_CONSUMO_COM,ARTS_MODO_STOC_MIN,ARTS_STOCK_MINIMO,ARTS_GENERA_MOVSTK,ARTS_CLASIF_UM_ART,ARTS_PORC_DMAXCAOF,ARTS_HABIL_PPP,ARTS_COSTEO_CIEMES,ARTS_DIVI_ASI_CM,ARTS_ESPECIE_GRANO,ARTS_TIPO_GRANO,ARTS_VARIEDAD_GRANO,ARTS_CUENTA_ANTICIPO_LIQ,ARTS_CODIGO_PROD_COT,ARTS_CODIGO_UM_COT,ARTS_FACTOR_UM_COT,ARTS_UNIMED_DIM,ARTS_LARGO_DIM,ARTS_ANCHO_DIM,ARTS_ALTO_DIM,ARTS_DIAS_EXIS_ANTES_USO,ARTS_UMS_ES_UCMI,ARTS_UM_UCMI,ARTS_FACTOR_UM_UCMI,ARTS_CODBAR_UCMI,ARTS_DESCRIPCION_WS_AFIP,ARTS_DPOS_CONSUMO_COMP,ARTS_CLASIF_1_CAD1,ARTS_CLASIF_2_CAD2,ARTS_CLASIF_3_CAD3,ARTS_CLASIF_4_CAD4,ARTS_OPERA_CODBAR_PARTIDAS,ARTS_ASIGNA_AUTO_CODBAR_PARTIDAS,ARTS_APLICA_CTRL_CODBAR_PARTIDAS,ARTS_HABIL_MULTINODO,ARTS_NUEVAS_PART_BLOQUAR_AUT,ARTS_UTILIZA_CODIGO_BARRA,ARTS_CAUSA_BLOQ_PART_AUT,ARTS_REQ_ANAL_LAB_PARA_INGRESO,ARTS_REQ_IDENT_DEPOSITO_INGR_OTL,ARTS_STOCK_MAXIMO,ARTS_EXIGE_VENCIM_PARTIDAS,ARTS_EXIGE_NUMERO_SERIE_PART
3253,KIT DISTRI K025427XS / KS101 /SURAN/FOX/GOL TREND/VOYAGE 1.6,K90135X19XS-B,0.4040286151626774,K90135X19XS-B,COM,ina : 530069710 LUCAS-LKTBN341   GV358 con bomba,2,2,3,1,0,1,0,,,,,,,,,,UN,K025427XS /KS101,1,0,0,0,0,0,,,1,1,2017-06-22 00:00:00,,0,0,0,0,UN,1,110600001,1,1,1,0,1,,0,0,0,,,,,,848280,1,1,,,,,0,1,,0,,,,,,,,0,0,0,1,0,1,,0,0,,0,0
4372,CONJUNTO EMBRAGUE PD Toyota Hilux 2.8Tdi 1GD-FTD / 2.4 2GD-FTD 275X21,628358509,0.38425313189821625,628358509,COM,crapodina : 500149510 SACHS : 3000954575 PHC: TYK-214  (( mod nuevo )),3,1,198,1,0,1,0,,,,,,,,,,UN,628358509,1,0,0,0,0,0,,,1,1,2019-05-20 00:00:00,,0,0,0,0,UN,1,110600001,0,1,1,0,1,,0,0,0,,,,,,870893,1,1,,,,,0,1,,0,,,,,,,,0,0,0,1,0,1,,0,0,,0,0
12933,KIT DIST VW Up -Fox-Suran-Gol Trend 1.6 16v MSI - 1.4T (163x20xs),530059211,0.3748602286339627,530059211,COM,GATES-K015680XS / SKF-  / LUCAS-LKTBN819,17,2,3,1,0,1,0,,,,,,,,,,UN,530059211,1,0,0,0,0,0,,,1,1,2017-06-22 00:00:00,,0,0,0,0,UN,1,110600001,0,1,1,0,1,,0,0,0,,,,,,848280,1,1,,,,,0,1,,0,,,,,,,,0,0,0,1,0,1,,0,0,,0,0
4071,KIT EMBRAGUE PDR Fiat Mobi/Argo/Cronos/Argo/Uno 1.0 / 1.3 16v Firefly,620343300,0.37412587444840556,620343300,COM,APLICACIONES: Fiat Mobi 1.0 2017- / Argo 1.3 16v Firefly EQUIVALENCIAS : sachs 3000001443 VALEO: 833381,3,1,1,1,0,1,0,,,,,,,,,,UN,620343300,1,0,0,0,0,0,,,1,1,2019-05-20 00:00:00,,0,0,0,0,UN,1,110600001,0,1,1,0,1,,0,0,0,,,,,,870893,1,1,,,,,0,1,,0,,,,,,,,0,0,0,1,0,1,,0,0,,0,0
24741,KIT EMBRAGUE PDR PEUGEOT/CITROEN 1.6 HDI 225X18 FUND ALTA,PGK-014,0.37191505486745763,PGK-014,COM,SACHS 3000951560 / LUK:623 3325 00 PREAMORTIGUADO FUNDICION ALTA,88,1,1,1,0,1,0,,,,,,,,,,UN,PGK-014,1,0,0,0,0,0,,,1,1,2024-11-27 00:00:00,,0,0,0,0,UN,1,110600001,0,1,1,0,1,,0,0,0,,,,,,870893,1,1,,,,,0,1,,0,,,,,,,,0,0,0,1,0,1,,0,0,0,0,0
4350,F. Ranger 2.8 TD /3.0LTDI M. Internacional --(Power Stroke). C,626301833,0.357773807775539,626301833,COM,SACHS: 3400001316 Ranger 2.8 16v TD (135cv) -3.0 16v TDi (163cv) M. Internacional - Maxion -(Power Stroke). Caja Eaton FSO-2405-A/F - Desde 08-01 en adelante,3,1,199,1,0,2,0,,,,,,,,,,UN,626301833,1,0,0,0,0,0,,,1,1,2017-06-22 00:00:00,,0,0,0,0,UN,1,110600001,0,1,1,0,1,,0,0,0,,,,,,870893,1,1,,,,,0,1,,0,,,,,,,,0,0,0,1,0,1,,0,0,,0,0
20883,KIT EMBRAGUE PDR CHEV.AGILE/ CORSA/ FUN 1.4 8V 190X14 (maza fija),GMK-056,0.35710871800177174,GMK-056,COM,KIT EMBRAGUE PDR CHEVROLET AGILE/ CORSA/ FUN 1.4 8V 190X14 VALEO 801039 SACHS 3000001211 LUK 620323600 ( AClaracion : la pieza PHC viene con un disco con maza fija (no flotante ),88,1,1,1,0,1,0,,,,,,,,,,UN,GMK-056,1,0,0,0,0,0,,,1,1,2020-01-06 00:00:00,,0,0,0,0,UN,1,110600001,0,1,1,0,1,,0,0,0,,,,,,870893,1,1,,,,,0,1,,0,,,,,,,,0,0,0,1,0,1,,0,0,,0,0
4329,KIT EMBRAGUE PDH VW AMAROK 2.0 TDI/BITDI (122/163/180CV),624347433,0.35396090947944897,624347433,COM,EQUIVALENCIAS : SACHS 3000990308 APLICACIONES : AMAROK 2.0 TDI/BITDI (122/163/180CV) Motor: CDBA CNEA CSHA,3,1,199,1,0,3,0,,,,,,,,,,UN,624347433,1,0,0,0,0,0,,,1,1,2017-06-22 00:00:00,,0,0,0,0,UN,1,110600001,1,1,1,0,1,,0,0,0,,,,,,870893,1,1,,,,,0,1,,0,,,,,,,,0,0,0,1,0,1,,0,0,,0,0
17772,KIT DISTRI + BBA AGUA RENAULT K4M,GV434,0.3480365001278241,GV434,COM,K132X27.4XS-A + BA434 KIT DISTRI + BBA AGUA RENAULT K4M  _x000D_KP132X27.4XS-A - IV434 ,30,2,166,1,0,2,0,,,,,,,,,,UN,GV434,1,0,0,0,0,0,,,1,1,2017-06-22 00:00:00,,0,0,0,0,UN,1,110600001,1,1,1,0,1,,0,0,0,,,,,,841330,1,1,,,,,0,1,,0,,,,,,,,0,0,0,1,0,1,,0,0,,0,0
12948,KIT DISTRI RENAUL Clio2/Megane/Scenic K4M NUEVA GENERACION,530073710,0.3467838973465345,530073710,COM,GATES-K015671XS  (( iv434 )),17,2,3,1,0,1,0,,,,,,,,,,UN,530073710,1,0,0,0,0,0,,,1,1,2020-12-17 00:00:00,,0,0,0,0,UN,1,110600001,0,1,1,0,1,,0,0,0,,,,,,848280,1,1,,,,,0,1,,0,,,,,,,,0,0,0,1,0,1,,0,0,,0,0
